ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Date,Year,Month,Day_of_Week,Hour
A-397989,2,2021-03-11 15:45:56,2021-03-11 17:45:56,45.445257,-122.73553400000002,45.453497,-122.717884,1.028,A stall has the right lane closed NB at Capitol. Use caution.,,I-5 N,R,Portland,Multnomah,OR,97219,US,US/Pacific,KPDX,2021-03-11 15:53:00,61.0,61.0,31.0,30.21,10.0,WNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-03-11,2021,3,3,15
A-398935,2,2021-06-21 07:38:00,2021-06-21 13:07:30,45.497345,-122.673488,45.47052,-122.685833,1.948,Stationary traffic on Pacific Highway 1 S - I-5 S from OR-43 exit [299A] to Terwilliger Blvd exit [297] due to accident.,,I-5 S,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-06-21 07:53:00,71.0,71.0,59.0,29.85,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-21,2021,6,0,7
A-398999,2,2021-07-30 13:26:09,2021-07-30 14:26:09,45.512229,-122.578998,45.512231,-122.57868899999998,0.015,An unconfirmed report of a crash has been received. Use caution.,8174.0, SE Hawthorne Blvd,R,Portland,Multnomah,OR,97215-3650,US,US/Pacific,KPDX,2021-07-30 13:53:00,92.0,92.0,33.0,29.88,10.0,VAR,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,2021-07-30,2021,7,4,13
A-399092,2,2021-09-16 17:52:30,2021-09-16 20:01:09,45.578633,-122.661416,45.577227,-122.659344,0.14,Stationary traffic on US-30 Byp E - OR-99E - US-30 Byp W from NE Columbia Blvd to NE 6th Ave due to accident.,,NE Martin Luther King Jr Blvd,R,Portland,Multnomah,OR,97211,US,US/Pacific,KPDX,2021-09-16 17:53:00,77.0,77.0,19.0,29.91,10.0,ENE,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-16,2021,9,3,17
A-399294,2,2021-08-11 06:24:15,2021-08-11 09:09:15,45.532167,-122.68689,45.540525,-122.679773,0.672,Incident on I-405 NB near MP 3 Center lane blocked. Expect Delays.,1573.0, NW Overton St,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-08-11 06:53:00,70.0,70.0,71.0,29.97,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2021-08-11,2021,8,2,6
A-399383,2,2021-09-22 16:16:08,2021-09-22 17:16:08,45.439292,-122.62477,45.439362,-122.62462,0.009,An unconfirmed report of a crash has been received. Use caution.,3698.0, Milwaukie Expy,R,Portland,Clackamas,OR,97222,US,US/Pacific,KPDX,2021-09-22 15:53:00,68.0,68.0,63.0,30.22,10.0,NNW,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021-09-22,2021,9,2,16
A-399401,2,2021-08-28 09:27:00,2021-08-28 09:56:00,45.515485,-122.693263,45.515796,-122.699456,0.301,Slow traffic on Sunset Hwy W - US-26 W from I-405/Market St (US-26) to Canyon Rd/Exit 73 (US-26) due to accident.,,US-26 W,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-08-28 09:53:00,65.0,65.0,61.0,30.07,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-08-28,2021,8,5,9
A-399558,2,2021-08-20 23:11:30,2021-08-20 23:36:30,45.575478,-122.545384,45.585369,-122.544091,0.6859999999999999,Slow traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Airport Way/Exit 24 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,E Portland Fwy N,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-08-20 22:53:00,65.0,65.0,65.0,29.84,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-08-20,2021,8,4,23
A-399559,2,2021-03-21 22:21:00,2021-03-21 22:50:30,45.574647,-122.545934,45.597177,-122.550054,1.569,Slow traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Airport Way/Exit 24 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,Glenn L Jackson Memorial Bridge,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-03-21 21:53:00,45.0,42.0,82.0,30.2,8.0,SW,6.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-03-21,2021,3,6,22
A-399627,2,2021-06-07 16:56:26,2021-06-07 18:41:26,45.503034,-122.785064,45.496448,-122.791273,0.545,Incident on OR-217 SB near MP 0 Right lane blocked. Expect delays.,,Beaverton Tigard Fwy S,R,Portland,Washington,OR,97225,US,US/Pacific,KHIO,2021-06-07 16:53:00,63.0,63.0,38.0,29.68,10.0,VAR,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-07,2021,6,0,16
A-400016,2,2021-07-17 03:02:07,2021-07-17 05:47:00,45.448025,-122.783449,45.444935,-122.780199,0.265,A crash has the Southbound right lane closed just South of Scholls use caution.,,Beaverton Tigard Fwy S,R,Portland,Washington,OR,97223,US,US/Pacific,KHIO,2021-07-17 02:53:00,59.0,59.0,81.0,29.83,10.0,NNW,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-07-17,2021,7,5,3
A-400228,2,2021-10-04 17:34:14,2021-10-05 01:34:14,45.543012,-122.55951,45.533197,-122.564277,0.716,A disabled vehicle is blocking the wb right lane at 102nd. Use caution.,,I-84 W,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-10-04 17:53:00,67.0,67.0,61.0,29.8,10.0,E,6.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-10-04,2021,10,0,17
A-400458,2,2021-12-10 17:21:52,2021-12-10 18:21:52,45.568875,-122.552264,45.574655,-122.545944,0.503,A crash has the NB left lane closed at Airport Way. Use caution.,,E Portland Fwy N,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-12-10 17:44:00,47.0,41.0,71.0,30.06,10.0,S,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2021-12-10,2021,12,4,17
A-400459,2,2021-04-15 13:13:54,2021-04-15 15:13:54,45.568871,-122.552277,45.570848,-122.549662,0.186,An unconfirmed report of a disabled vehicle creating a hazard has been received. Use. caution. Ramps Affected.,,I-205 N,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-04-15 12:53:00,70.0,70.0,25.0,30.06,10.0,NW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-04-15,2021,4,3,13
A-401653,2,2021-06-23 14:19:26,2021-06-23 16:19:26,45.52567,-122.660675,45.525837,-122.660673,0.012,A disabled vehicle is creating a hazard causing no to minimum delays. Use caution. Ramps Affected.,,NE Grand Ave,R,Portland,Multnomah,OR,97232,US,US/Pacific,KPDX,2021-06-23 13:53:00,77.0,77.0,42.0,29.91,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-23,2021,6,2,14
A-402270,2,2021-06-30 12:04:00,2021-06-30 19:34:00,45.469542,-122.680461,45.515829,-122.666008,3.274,Slow traffic on Pacific Highway 1 N - I-5 N - Marquam Brg N from exit [297] to exit [300] due to accident.,,I-5 N,R,Portland,Multnomah,OR,97219,US,US/Pacific,KPDX,2021-06-30 11:53:00,74.0,74.0,57.0,29.89,6.0,VAR,5.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-30,2021,6,2,12
A-402294,2,2021-08-11 12:55:00,2021-08-11 13:15:00,45.58327,-122.768553,45.585437,-122.764066,0.264,Stationary traffic on US-30 Byp E - US-30 Byp W from NW Bridge Ave/St Johns Bridge (US-30 Byp) to N Portsmouth Ave (US-30 Byp/N Lombard St) due to accident.,8575.0, NW Bridge Ave,R,Portland,Multnomah,OR,97210,US,US/Pacific,KVUO,2021-08-11 12:53:00,91.0,91.0,33.0,29.91,10.0,W,10.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021-08-11,2021,8,2,12
A-402521,2,2021-02-28 20:09:55,2021-02-28 22:09:55,45.56675,-122.555075,45.57444,-122.555675,0.532,A stalled vehicle has the right lane closed on the ramp to Airport Way WB use caution.,,E Portland Fwy N,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-02-28 19:53:00,49.0,49.0,64.0,30.16,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-02-28,2021,2,6,20
A-402527,2,2021-08-31 23:20:56,2021-09-01 01:20:56,45.515479,-122.699651,45.51586500000001,-122.697419,0.111,A stall has the Eastbound right lane closed inside the Vista Ridge tunnel use caution.,,Sunset Hwy E,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-08-31 22:53:00,59.0,59.0,64.0,29.97,10.0,NNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-08-31,2021,8,1,23
A-402544,2,2021-12-29 12:48:30,2021-12-29 14:43:30,45.516906,-122.667076,45.534384,-122.666282,1.208,Slow traffic on Pacific Highway 1 N - I-5 N - US-30 W from Exit 300 (I-5) to Weidler St/Exit 302 (I-5) due to accident.,,SE Belmont St,R,Portland,Multnomah,OR,97214,US,US/Pacific,KPDX,2021-12-29 12:53:00,34.0,25.0,56.0,29.91,10.0,E,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-29,2021,12,2,12
A-402545,2,2021-07-09 13:06:10,2021-07-09 18:55:22,45.539948,-122.670849,45.617126,-122.675648,5.337999999999999,Stationary traffic on Pacific Highway 1 N - I-5 N - US-30 W - Pacific Highway 1 S from N Broadway St/Exit 302 (I-5) to Interstate Bridge (I-5) due to accident.,,I-5 N,R,Portland,Multnomah,OR,97227,US,US/Pacific,KPDX,2021-07-09 12:53:00,76.0,76.0,46.0,30.04,10.0,W,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-09,2021,7,4,13
A-402948,2,2021-12-11 08:35:00,2021-12-11 08:58:30,45.513689,-122.701698,45.506621,-122.713942,0.768,Slow traffic on Sunset Hwy W - US-26 W from Canyon Rd/Exit 73 (US-26) to Canyon Rd/Exit 72 (US-26) due to accident.,,Sunset Hwy W,R,Portland,Multnomah,OR,97205,US,US/Pacific,KPDX,2021-12-11 08:53:00,48.0,40.0,77.0,29.64,10.0,SSW,24.0,0.11,Light Rain / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-11,2021,12,5,8
A-402968,2,2021-05-27 17:14:12,2021-05-27 19:14:12,45.492378,-122.673779,45.498398,-122.673189,0.417,A road hazard has the right lane of the ramp from NB I-5 to NB I-405 closed. Use caution.,,I-5 N,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-05-27 16:53:00,63.0,63.0,40.0,30.09,10.0,W,22.0,0.0,Mostly Cloudy / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-05-27,2021,5,3,17
A-403008,2,2021-08-06 08:43:00,2021-08-06 14:14:41,45.538013,-122.560123,45.530404,-122.615005,2.708,Stationary traffic on I-84 W - US-30 W from I-205/Exit 8 (I-84) to 47th Ave/Exit 2 (I-84) due to accident.,,I-84 W,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-08-06 08:53:00,67.0,67.0,79.0,30.08,7.0,CALM,0.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-08-06,2021,8,4,8
A-403169,2,2021-03-25 18:04:47,2021-03-25 20:04:47,45.500639,-122.660411,45.501559,-122.659441,0.079,A disabled vehicle is creating a hazard causing no to minimum delays. Use caution.,3038.0, SE Grand Ave,L,Portland,Multnomah,OR,97202-2652,US,US/Pacific,KPDX,2021-03-25 17:53:00,54.0,54.0,51.0,29.96,10.0,NW,7.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-03-25,2021,3,3,18
A-403369,2,2021-09-13 12:16:00,2021-09-13 15:42:00,45.509152,-122.729613,45.514872,-122.691519,1.886,Stationary traffic on Sunset Hwy E - US-26 E from exit [72] to exit [74] due to accident.,,Sunset Hwy E,R,Portland,Multnomah,OR,97221,US,US/Pacific,KPDX,2021-09-13 12:35:00,65.0,65.0,56.0,30.18,10.0,WNW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-13,2021,9,0,12
A-403370,2,2021-07-17 17:33:30,2021-07-17 17:56:30,45.508662,-122.736073,45.514872,-122.691519,2.199,Slow traffic on Sunset Hwy E - US-26 E from exit [71] to exit [74] due to accident.,,SW Skyline Blvd,R,Portland,Multnomah,OR,97221,US,US/Pacific,KPDX,2021-07-17 17:53:00,81.0,81.0,39.0,29.99,10.0,NNW,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-17,2021,7,5,17
A-403371,2,2021-06-28 11:20:30,2021-06-28 13:44:00,45.506627,-122.713298,45.514872,-122.691519,1.199,Slow traffic on Sunset Hwy E - US-26 E from exit [72] to exit [74] due to accident.,,Sunset Hwy E,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-06-28 10:53:00,98.0,98.0,31.0,29.65,10.0,WNW,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-28,2021,6,0,11
A-403372,2,2021-05-27 11:22:00,2021-05-27 11:55:00,45.508672,-122.708357,45.514872,-122.691519,0.921,Slow traffic on Sunset Hwy E - US-26 E from Jefferson St exit [73] to exit [74] due to accident.,,Sunset Hwy E,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-05-27 10:53:00,59.0,59.0,72.0,30.01,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-05-27,2021,5,3,11
A-403493,2,2021-12-04 17:54:42,2021-12-05 02:39:42,45.463303,-122.699357,45.465563,-122.694987,0.263,Incident on I-5 NB near MP 296 Drive with caution.,,I-5 N,R,Portland,Multnomah,OR,97219,US,US/Pacific,KPDX,2021-12-04 17:53:00,51.0,51.0,86.0,30.14,8.0,S,13.0,0.02,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2021-12-04,2021,12,5,17
A-403518,2,2021-12-08 16:57:17,2021-12-08 19:42:17,45.509351,-122.686547,45.510151,-122.687557,0.074,Incident on I-405 NB near MP 1 Left lane blocked.,,US-26 W,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-12-08 16:53:00,43.0,43.0,80.0,30.03,10.0,WSW,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2021-12-08,2021,12,2,16
A-403756,2,2021-11-25 22:51:35,2021-11-25 23:51:35,45.53383400000001,-122.631272,45.532974,-122.632392,0.08,A crash has occurred use caution.,,I-84 W,R,Portland,Multnomah,OR,97232,US,US/Pacific,KPDX,2021-11-25 22:53:00,48.0,48.0,80.0,30.22,4.0,CALM,0.0,0.06,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-11-25,2021,11,3,22
A-403828,2,2021-11-08 18:21:53,2021-11-08 20:06:53,45.562676,-122.678708,45.556164,-122.678694,0.45,Incident on I-5 SB near MP 304 Right lane blocked. Expect delays.,,I-5 S,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-11-08 17:53:00,54.0,54.0,45.0,29.69,10.0,ESE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2021-11-08,2021,11,0,18
A-403829,2,2021-06-26 16:43:38,2021-06-26 19:28:38,45.563467,-122.678714,45.555497,-122.678684,0.551,A stall has the left lane closed SB at Ainsworth. Use caution.,,Pacific Highway 1 S,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-06-26 16:53:00,105.0,105.0,24.0,29.81,10.0,W,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-26,2021,6,5,16
A-404164,2,2021-07-30 08:30:00,2021-07-30 08:59:00,45.478005,-122.564777,45.482623,-122.565806,0.3229999999999999,Stationary traffic from exit [17] to I-205 N due to accident.,9601.0, SE Woodstock Blvd,L,Portland,Multnomah,OR,97266-4547,US,US/Pacific,KPDX,2021-07-30 08:53:00,75.0,75.0,53.0,29.95,10.0,N,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021-07-30,2021,7,4,8
A-404356,2,2021-09-15 09:57:00,2021-09-15 10:23:00,45.583882,-122.679168,45.566404,-122.678743,1.208,Slow traffic on Pacific Highway 1 S - I-5 S from Victory Blvd/Exit 306 (I-5) to Alberta St/Exit 303 (I-5) due to accident.,,I-5 S,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-09-15 09:53:00,61.0,61.0,52.0,30.07,10.0,NW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021-09-15,2021,9,2,9
A-404419,2,2021-12-22 09:42:00,2021-12-22 09:55:00,45.542439,-122.484029,45.547589,-122.548459,3.138,Slow traffic on I-84 W - US-30 W from 181st Ave/Exit 13 (I-84) to 122nd Ave/Exit 10 (I-84) due to accident.,,I-84 W,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-12-22 09:53:00,42.0,36.0,85.0,29.74,10.0,E,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-22,2021,12,2,9
A-404737,2,2021-08-04 10:40:54,2021-08-04 11:40:54,45.505295,-122.673972,45.504985,-122.674232,0.025,Right lane closed on the ramp to SB I-5 from the Marquam Bridge due to crash use caution.,2345.0, S Moody Ave,L,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-08-04 10:53:00,74.0,74.0,57.0,29.96,10.0,WSW,6.0,0.0,Fair,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,2021-08-04,2021,8,2,10
A-405581,2,2021-06-14 21:43:22,2021-06-14 23:28:22,45.489653,-122.681952,45.490765,-122.678619,0.179,A crash has the right lane closed SB near Hamilton Street. Use caution.,4644.0, SW Barbur Blvd,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-06-14 21:53:00,63.0,63.0,78.0,30.03,10.0,WNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2021-06-14,2021,6,0,21
A-405628,2,2021-09-13 13:32:57,2021-09-13 15:17:57,45.510287,-122.687747,45.520289,-122.685991,0.696,A crash has the NB right lanes closed near US-26. Use caution. Ramps Affected.,,I-405 N,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-09-13 13:48:00,66.0,66.0,52.0,30.16,10.0,NW,6.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-13,2021,9,0,13
A-405709,2,2021-09-11 22:41:46,2021-09-12 00:26:46,45.527343,-122.608865,45.527307,-122.606627,0.108,Incident on I-84 EB near MP 3 Drive with caution.,,I-84 E,R,Portland,Multnomah,OR,97213,US,US/Pacific,KPDX,2021-09-11 22:53:00,69.0,69.0,65.0,30.04,10.0,NW,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-09-11,2021,9,5,22
A-405774,2,2021-11-02 17:41:00,2021-11-02 17:53:00,45.586093,-122.544355,45.59718400000001,-122.550071,0.815,Slow traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Airport Way/Exit 24 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,E Portland Fwy N,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-11-02 17:53:00,50.0,50.0,77.0,30.13,10.0,E,22.0,0.01,Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-11-02,2021,11,1,17
A-405775,2,2021-06-11 23:00:00,2021-06-12 01:01:30,45.576583,-122.54476499999998,45.59718400000001,-122.550071,1.446,Stationary traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Airport Way/Exit 24 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,E Portland Fwy N,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-06-11 22:53:00,60.0,60.0,86.0,29.92,10.0,CALM,0.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2021-06-11,2021,6,4,23
A-406218,2,2021-04-05 18:48:01,2021-04-05 20:33:01,45.506621,-122.713942,45.508791,-122.734919,1.027,Incident on US-26 WB near MP 72 Center lane blocked. Expect Delays.,,Sunset Hwy W,R,Portland,Multnomah,OR,97221,US,US/Pacific,KPDX,2021-04-05 18:53:00,59.0,59.0,36.0,30.09,10.0,NW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-04-05,2021,4,0,18
A-406384,2,2021-08-25 14:09:00,2021-08-25 16:45:30,45.533499,-122.579083,45.529881,-122.648436,3.366,Stationary traffic on I-84 W - US-30 W from NE 82nd Ave to exit [1] due to accident.,,I-84 W,R,Portland,Multnomah,OR,97213,US,US/Pacific,KPDX,2021-08-25 13:53:00,76.0,76.0,40.0,30.0,10.0,NNE,6.0,0.0,Partly Cloudy,False,False,False,False,True,False,True,False,True,False,False,False,False,Day,Day,Day,Day,2021-08-25,2021,8,2,14
A-406385,2,2021-05-29 15:43:00,2021-05-29 17:34:30,45.530179,-122.641518,45.533065,-122.665276,1.167,Accident on exit [1] from Broadway - Weidler St exit [302A] to I-84 W - Pacific Highway 1 N - US-30 W - I-5 N.,,I-84 W,R,Portland,Multnomah,OR,97232,US,US/Pacific,KPDX,2021-05-29 15:53:00,80.0,80.0,30.0,29.96,10.0,WNW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-05-29,2021,5,5,15
A-406960,2,2021-07-19 10:47:30,2021-07-19 11:44:00,45.529256,-122.665174,45.542829,-122.673744,1.025,Slow traffic on Pacific Highway 1 N - I-5 N - US-30 W - Pacific Highway 1 S from Broadway - Weidler St exit [302A] to Greeley Ave exit [302C] due to accident.,,US-30 W,R,Portland,Multnomah,OR,97232,US,US/Pacific,KPDX,2021-07-19 10:53:00,72.0,72.0,48.0,30.09,10.0,WNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-19,2021,7,0,10
A-407558,2,2021-07-23 17:10:12,2021-07-23 18:13:00,45.541636,-122.672679,45.525356,-122.665426,1.178,Slow traffic on US-30 E - Pacific Highway 1 S - I-5 S from I-405/US-30/Exit 302 (I-5) to OR-99E/Exit 300 (I-5) due to accident.,,I-5 S,R,Portland,Multnomah,OR,97227,US,US/Pacific,KPDX,2021-07-23 16:53:00,85.0,85.0,25.0,30.14,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-23,2021,7,4,17
A-407982,2,2021-06-03 19:20:00,2021-06-03 19:33:30,45.54143,-122.678672,45.54839000000001,-122.678622,0.481,Slow traffic from US-30/Exit 3 (I-405) to I-5 (Portland) (North) (I-405) due to accident.,,Fremont Bridge,R,Portland,Multnomah,OR,97227,US,US/Pacific,KPDX,2021-06-03 18:53:00,78.0,78.0,46.0,29.89,10.0,N,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-03,2021,6,3,19
A-408543,2,2021-03-20 13:11:38,2021-03-20 15:11:38,45.507267,-122.670214,45.515005,-122.667547,0.55,A stall has the right lane closed SB on the Marquam Bridge. Use caution.,,I-5 N,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-03-20 12:53:00,51.0,51.0,68.0,30.21,10.0,SSW,12.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-03-20,2021,3,5,13
A-408558,2,2021-12-29 14:40:30,2021-12-29 19:02:30,45.53684000000001,-122.684453,45.516991,-122.687929,1.382,Slow traffic on Fremont Brg - US-30 W - I-405 S from I-5 (Portland) (North) (I-405) to US-26/Exit 1D (SB) (I-405) due to accident.,,Fremont Brg,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-12-29 14:53:00,34.0,25.0,59.0,29.94,10.0,ESE,12.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-29,2021,12,2,14
A-409244,2,2021-10-29 13:32:30.000000000,2021-10-29 15:43:30.000000000,45.51207,-122.689049,45.530842,-122.686839,1.301,Stationary traffic on I-405 N from 6th Ave/SW 1st Ave/Exit 1 (I-405) to US-30/Exit 3 (I-405) due to accident.,,I-405 N,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-10-29 13:53:00,57.0,57.0,59.0,30.11,10.0,NW,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-10-29,2021,10,4,13
A-409483,2,2021-09-18 14:34:30.000000000,2021-09-18 14:57:00.000000000,45.486605,-122.566303,45.462363,-122.570655,1.6880000000000002,Slow traffic on E Portland Fwy S - Veterans Memorial Fwy S - I-205 S from US-26/Powell Blvd/Exit 19 (I-205) to Johnson Creek Blvd/Exit 16 (I-205) due to accident.,,E Portland Fwy S,R,Portland,Multnomah,OR,97266,US,US/Pacific,KPDX,2021-09-18 14:53:00,67.0,67.0,68.0,29.76,10.0,SSW,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-18,2021,9,5,14
